Body_Type,Sex,Diet,How_Often_Shower,Heating_Energy_Source,Transport,Vehicle_Type,Social_Activity,Monthly_Grocery_Bill,Frequency_of_Traveling_by_Air,Vehicle_Monthly_Distance_Km,Waste_Bag_Size,Waste_Bag_Weekly_Count,How_Long_TV_PC_Daily_Hour,How_Many_New_Clothes_Monthly,How_Long_Internet_Daily_Hour,Energy_efficiency,Recycling,Cooking_With,CarbonEmission
obese,female,pescatarian,twice a day,wood,walk/bicycle,No Vehicle,never,120,rarely,1.6094379124341003,small,2,8,14,12,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']",['Oven'],817
normal,female,omnivore,twice a day,natural gas,public,No Vehicle,often,245,very frequently,7.44600149832412,medium,1,1,7,7,No,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave']",2118
underweight,male,pescatarian,less frequently,coal,walk/bicycle,No Vehicle,often,286,frequently,2.70805020110221,small,7,21,32,15,Yes,['Metal'],"['Stove', 'Oven', 'Grill', 'Airfryer']",2382
overweight,male,pescatarian,daily,wood,private,petrol,often,158,very frequently,8.438799123988225,large,2,4,47,23,Yes,['Metal'],[],5271
normal,male,pescatarian,more frequently,wood,public,No Vehicle,often,298,very frequently,5.648974238161206,small,2,0,5,6,No,['Metal'],"['Stove', 'Grill', 'Airfryer']",2523
overweight,female,pescatarian,more frequently,natural gas,private,hybrid,often,149,very frequently,7.80994708647679,extra large,3,5,15,9,Yes,['Glass'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2994
underweight,female,omnivore,less frequently,natural gas,private,diesel,sometimes,222,frequently,8.233768709217097,extra large,5,20,32,0,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2801
overweight,female,omnivore,twice a day,coal,public,No Vehicle,never,138,rarely,7.3537223303996315,medium,4,12,45,13,No,['Glass'],"['Oven', 'Grill', 'Airfryer']",2155
overweight,male,omnivore,less frequently,coal,walk/bicycle,No Vehicle,often,57,rarely,4.1588830833596715,small,4,24,12,13,No,"['Plastic', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1700
underweight,male,omnivore,twice a day,natural gas,public,No Vehicle,sometimes,90,very frequently,5.19295685089021,small,2,23,27,1,No,[],"['Grill', 'Airfryer']",2424
obese,female,pescatarian,less frequently,electricity,private,petrol,often,91,very frequently,8.730589391275567,large,7,5,22,9,Sometimes,"['Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",5672
obese,male,vegan,less frequently,electricity,public,No Vehicle,sometimes,58,very frequently,5.575949103146316,extra large,3,6,25,23,Yes,"['Paper', 'Glass', 'Metal']",['Stove'],2775
underweight,female,omnivore,more frequently,coal,public,No Vehicle,never,101,frequently,7.22983877815125,medium,4,9,15,11,Sometimes,"['Paper', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']",1625
normal,male,vegan,less frequently,coal,private,lpg,never,121,rarely,7.935945103353701,large,1,3,33,21,No,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave']",2165
obese,female,vegetarian,more frequently,wood,walk/bicycle,No Vehicle,often,213,very frequently,3.258096538021482,large,3,22,16,2,Sometimes,['Plastic'],"['Microwave', 'Grill', 'Airfryer']",2795
underweight,male,pescatarian,more frequently,electricity,public,No Vehicle,sometimes,116,never,6.677083461247136,medium,4,1,17,19,No,"['Paper', 'Glass', 'Metal']",['Microwave'],838
obese,male,vegetarian,twice a day,natural gas,walk/bicycle,No Vehicle,often,186,frequently,4.07753744390572,extra large,2,21,27,0,Sometimes,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave']",2526
overweight,female,vegetarian,more frequently,coal,public,No Vehicle,often,121,very frequently,6.040254711277414,small,5,11,12,22,Sometimes,['Plastic'],"['Grill', 'Airfryer']",2727
overweight,male,omnivore,twice a day,natural gas,private,petrol,never,197,very frequently,8.730589391275567,large,3,5,0,0,Sometimes,['Plastic'],"['Oven', 'Microwave']",5733
normal,male,pescatarian,less frequently,wood,private,petrol,often,80,rarely,8.17948018535889,large,2,5,46,6,Sometimes,[],"['Stove', 'Oven', 'Microwave']",3229
underweight,female,vegan,less frequently,wood,walk/bicycle,No Vehicle,never,84,frequently,4.564348191467836,extra large,2,12,41,11,No,"['Plastic', 'Glass']",[],1625
underweight,male,vegan,less frequently,coal,private,lpg,never,203,rarely,8.52674740422105,medium,3,17,36,0,No,['Plastic'],['Microwave'],3011
underweight,male,pescatarian,daily,electricity,public,No Vehicle,sometimes,193,rarely,6.040254711277414,small,7,4,5,12,Yes,['Metal'],"['Stove', 'Oven']",1045
normal,female,vegetarian,less frequently,wood,walk/bicycle,No Vehicle,often,199,frequently,4.477336814478207,extra large,7,0,34,7,Sometimes,"['Paper', 'Metal']","['Oven', 'Microwave']",2268
underweight,female,pescatarian,daily,wood,public,No Vehicle,often,55,very frequently,6.760414691083428,small,3,1,21,20,No,"['Glass', 'Metal']",['Microwave'],1971
obese,male,pescatarian,daily,electricity,public,No Vehicle,never,177,rarely,7.179307969504034,large,3,12,18,24,Yes,"['Paper', 'Metal']","['Stove', 'Oven', 'Microwave']",1384
underweight,female,vegan,less frequently,electricity,walk/bicycle,No Vehicle,sometimes,52,very frequently,3.9512437185814275,large,6,17,3,11,Yes,"['Glass', 'Metal']","['Oven', 'Microwave']",1736
normal,male,omnivore,twice a day,wood,private,diesel,never,298,never,7.5688956634069955,medium,1,4,38,8,No,['Glass'],"['Oven', 'Grill', 'Airfryer']",2150
underweight,female,vegan,twice a day,natural gas,private,lpg,never,217,very frequently,8.730589391275567,extra large,7,22,28,18,Yes,"['Paper', 'Plastic', 'Metal']",[],3950
normal,female,omnivore,twice a day,coal,public,No Vehicle,often,274,frequently,6.470799503782602,extra large,4,8,18,16,No,['Paper'],['Oven'],2429
overweight,female,vegan,less frequently,coal,public,No Vehicle,often,79,very frequently,7.3783837129967145,small,1,11,28,12,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']",2482
obese,male,pescatarian,more frequently,electricity,public,No Vehicle,never,257,very frequently,6.695798917058491,medium,5,16,40,6,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",3275
overweight,female,pescatarian,more frequently,natural gas,public,No Vehicle,never,244,frequently,6.192362489474872,medium,7,24,10,3,Sometimes,"['Paper', 'Glass', 'Metal']",[],1656
overweight,male,vegetarian,less frequently,natural gas,walk/bicycle,No Vehicle,sometimes,243,frequently,3.8918202981106265,large,6,17,38,2,Yes,"['Paper', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2488
obese,male,vegetarian,more frequently,electricity,private,electric,often,288,rarely,8.730589391275567,small,5,10,8,3,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",1218
underweight,female,pescatarian,twice a day,natural gas,private,diesel,often,98,rarely,8.30622521603216,medium,1,17,19,24,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",1775
obese,male,vegetarian,more frequently,wood,walk/bicycle,No Vehicle,never,197,rarely,3.6109179126442243,large,2,9,18,4,No,"['Paper', 'Plastic', 'Glass']","['Oven', 'Grill', 'Airfryer']",1389
obese,female,vegetarian,less frequently,coal,private,hybrid,never,76,never,7.890956716138919,medium,4,12,15,7,No,['Glass'],[],1773
overweight,male,pescatarian,more frequently,coal,private,petrol,sometimes,79,rarely,8.730589391275567,large,6,10,43,24,Yes,"['Paper', 'Plastic', 'Glass']",[],5629
normal,female,pescatarian,less frequently,electricity,public,No Vehicle,often,129,very frequently,6.39024066706535,large,2,8,39,0,No,['Metal'],['Oven'],2309
normal,female,vegetarian,more frequently,coal,private,diesel,sometimes,164,very frequently,8.730589391275567,medium,4,10,26,0,Yes,['Paper'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",3814
overweight,male,pescatarian,twice a day,natural gas,public,No Vehicle,often,281,very frequently,6.761572768804055,small,1,20,44,17,Sometimes,['Metal'],"['Stove', 'Microwave']",3183
underweight,male,vegetarian,daily,electricity,walk/bicycle,No Vehicle,never,258,rarely,3.4011973816621555,small,2,10,22,16,Yes,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",974
underweight,female,vegan,twice a day,natural gas,private,petrol,often,226,rarely,7.614805364711073,extra large,5,13,17,12,Sometimes,"['Paper', 'Plastic']","['Stove', 'Grill', 'Airfryer']",2117
obese,female,vegan,daily,wood,private,electric,sometimes,139,rarely,7.224753405767971,large,2,22,6,17,Yes,"['Plastic', 'Glass']","['Oven', 'Microwave']",1131
normal,male,pescatarian,twice a day,electricity,public,No Vehicle,sometimes,233,rarely,7.543802867501509,small,3,8,9,12,No,['Metal'],"['Stove', 'Grill', 'Airfryer']",1174
underweight,female,vegetarian,twice a day,wood,walk/bicycle,No Vehicle,often,146,never,3.784189633918261,small,5,24,32,6,Yes,[],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1290
obese,female,vegetarian,more frequently,wood,private,diesel,never,69,never,6.721425700790643,small,7,11,36,18,Sometimes,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave']",1406
overweight,male,omnivore,daily,coal,walk/bicycle,No Vehicle,often,272,never,4.110873864173311,medium,5,17,24,10,No,['Glass'],"['Oven', 'Microwave']",2246
overweight,female,omnivore,more frequently,natural gas,public,No Vehicle,never,270,frequently,6.22455842927536,large,5,20,19,4,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",2106
obese,female,vegetarian,twice a day,electricity,public,No Vehicle,sometimes,201,frequently,6.851184927493743,large,3,24,45,11,Sometimes,['Paper'],"['Stove', 'Microwave']",2109
normal,female,vegan,less frequently,coal,public,No Vehicle,sometimes,190,rarely,6.333279628139691,small,7,4,48,22,No,"['Paper', 'Metal']","['Grill', 'Airfryer']",1706
overweight,female,pescatarian,more frequently,natural gas,walk/bicycle,No Vehicle,sometimes,128,rarely,3.8712010109078907,extra large,7,4,24,24,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2255
overweight,female,vegan,daily,coal,private,electric,sometimes,278,very frequently,7.693481640835175,small,5,12,37,3,Yes,['Metal'],"['Stove', 'Oven', 'Grill', 'Airfryer']",2750
overweight,male,omnivore,twice a day,natural gas,public,No Vehicle,often,166,never,7.065613363597717,small,7,5,34,7,Sometimes,"['Paper', 'Glass']","['Oven', 'Microwave']",1732
obese,female,vegan,daily,electricity,walk/bicycle,No Vehicle,sometimes,236,rarely,3.4965075614664802,large,7,13,38,17,No,"['Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1943
normal,female,pescatarian,twice a day,coal,private,lpg,never,82,never,6.415096959171596,extra large,2,10,14,14,No,"['Plastic', 'Glass', 'Metal']",['Microwave'],1121
normal,female,vegetarian,twice a day,coal,private,hybrid,often,95,frequently,5.2574953720277815,medium,1,6,23,12,Yes,"['Paper', 'Glass', 'Metal']",['Stove'],1471
underweight,male,vegetarian,less frequently,electricity,public,No Vehicle,never,216,rarely,4.912654885736052,extra large,5,10,47,6,No,['Glass'],"['Stove', 'Oven', 'Grill', 'Airfryer']",2031
overweight,female,pescatarian,less frequently,coal,private,diesel,never,129,frequently,8.730589391275567,small,7,14,15,20,Yes,['Paper'],"['Stove', 'Oven', 'Microwave']",3602
underweight,female,pescatarian,twice a day,wood,public,No Vehicle,often,94,frequently,6.329720905522696,medium,2,21,29,16,Sometimes,['Plastic'],"['Oven', 'Grill', 'Airfryer']",1676
normal,female,omnivore,twice a day,natural gas,private,hybrid,sometimes,107,frequently,7.5652752818989315,extra large,4,12,36,2,Yes,"['Paper', 'Plastic']","['Stove', 'Grill', 'Airfryer']",2098
underweight,male,vegetarian,more frequently,natural gas,walk/bicycle,No Vehicle,often,169,rarely,3.8066624897703196,large,5,13,35,24,No,"['Paper', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1948
overweight,female,vegan,daily,wood,private,diesel,often,205,rarely,8.730589391275567,large,6,16,30,23,Yes,"['Paper', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",4220
obese,male,vegetarian,less frequently,electricity,walk/bicycle,No Vehicle,never,123,frequently,4.110873864173311,medium,5,19,27,17,Yes,"['Plastic', 'Glass', 'Metal']","['Oven', 'Microwave']",1955
obese,male,vegetarian,daily,wood,public,No Vehicle,sometimes,279,frequently,6.2878585601617845,medium,3,5,3,8,Sometimes,['Glass'],"['Stove', 'Oven']",2128
obese,male,vegan,daily,natural gas,public,No Vehicle,never,272,very frequently,6.182084906716632,large,1,21,40,6,No,"['Paper', 'Plastic', 'Glass', 'Metal']",['Stove'],2699
normal,female,omnivore,more frequently,wood,public,No Vehicle,never,258,very frequently,7.497207223203318,medium,1,3,37,7,No,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']",2546
overweight,male,pescatarian,more frequently,natural gas,private,petrol,never,141,never,8.730589391275567,medium,3,11,26,12,Sometimes,"['Paper', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",3618
underweight,male,vegan,twice a day,natural gas,public,No Vehicle,often,91,rarely,7.440146680662688,extra large,3,4,8,12,No,['Metal'],"['Grill', 'Airfryer']",1576
overweight,female,vegetarian,twice a day,coal,private,lpg,sometimes,296,rarely,8.66785206770135,extra large,4,22,25,24,Yes,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",3715
underweight,male,vegan,more frequently,electricity,walk/bicycle,No Vehicle,often,57,rarely,3.912023005428146,extra large,1,1,47,21,Sometimes,['Metal'],"['Microwave', 'Grill', 'Airfryer']",1457
underweight,male,vegan,twice a day,electricity,public,No Vehicle,never,270,frequently,6.957497370876951,medium,7,5,18,0,Sometimes,['Plastic'],"['Stove', 'Oven']",1657
obese,male,omnivore,more frequently,natural gas,private,diesel,often,120,rarely,8.730589391275567,large,3,11,15,6,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']",4294
obese,male,pescatarian,more frequently,coal,public,No Vehicle,never,74,never,4.941642422609304,small,1,12,15,20,No,"['Plastic', 'Glass', 'Metal']",[],1138
underweight,female,vegan,less frequently,wood,private,petrol,never,219,very frequently,5.720311776607412,large,7,22,2,20,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",2157
normal,male,omnivore,twice a day,natural gas,private,petrol,sometimes,255,rarely,8.264878262801748,large,2,7,36,13,No,"['Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",3314
overweight,male,omnivore,twice a day,natural gas,public,No Vehicle,often,154,never,6.57507584059962,medium,3,19,40,16,Yes,"['Paper', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",1663
normal,male,vegetarian,less frequently,natural gas,private,hybrid,never,141,very frequently,8.730589391275567,medium,4,4,50,21,No,"['Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",4150
normal,male,vegetarian,less frequently,wood,private,electric,often,68,rarely,8.694669696546992,small,1,22,35,3,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1061
obese,female,omnivore,less frequently,natural gas,private,electric,never,242,frequently,8.730589391275567,extra large,1,8,19,19,No,['Glass'],"['Stove', 'Oven']",2072
obese,male,omnivore,more frequently,coal,walk/bicycle,No Vehicle,often,272,rarely,2.995732273553991,extra large,7,17,2,24,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",2856
underweight,female,vegan,more frequently,wood,walk/bicycle,No Vehicle,never,285,rarely,3.091042453358316,large,6,4,35,10,Yes,['Glass'],"['Stove', 'Oven']",1699
normal,male,vegan,less frequently,wood,private,petrol,never,108,frequently,6.60934924316738,medium,6,13,7,0,No,"['Paper', 'Glass', 'Metal']",[],1671
obese,female,vegan,less frequently,natural gas,public,No Vehicle,never,262,never,6.837332814685591,medium,1,3,12,16,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",825
overweight,female,pescatarian,daily,wood,private,lpg,never,100,never,8.730589391275567,small,6,12,9,7,Sometimes,"['Plastic', 'Metal']","['Stove', 'Oven']",3330
overweight,female,vegan,twice a day,wood,walk/bicycle,No Vehicle,never,255,frequently,4.248495242049359,small,1,13,10,6,Yes,"['Plastic', 'Metal']",['Oven'],1276
normal,male,omnivore,twice a day,coal,private,hybrid,sometimes,212,frequently,8.730589391275567,extra large,7,24,31,20,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",4072
underweight,female,vegetarian,twice a day,coal,walk/bicycle,No Vehicle,often,172,frequently,4.31748811353631,small,1,7,2,22,Sometimes,"['Paper', 'Plastic', 'Glass']",['Stove'],1245
normal,male,omnivore,more frequently,wood,public,No Vehicle,never,228,frequently,6.846943139585379,large,5,20,35,24,Sometimes,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave']",2866
normal,female,vegan,daily,coal,public,No Vehicle,often,256,very frequently,5.4680601411351315,small,3,15,7,9,No,"['Paper', 'Plastic']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2136
normal,female,vegan,twice a day,electricity,private,petrol,sometimes,213,frequently,7.3427791893318455,small,3,18,10,19,No,"['Paper', 'Glass']","['Oven', 'Grill', 'Airfryer']",1670
underweight,female,vegetarian,less frequently,electricity,walk/bicycle,No Vehicle,often,59,rarely,4.248495242049359,medium,3,0,12,3,Sometimes,['Metal'],"['Stove', 'Oven', 'Grill', 'Airfryer']",783
normal,male,vegetarian,twice a day,electricity,walk/bicycle,No Vehicle,sometimes,243,frequently,3.2188758248682006,small,6,0,36,4,No,"['Paper', 'Plastic']","['Stove', 'Microwave']",1668
normal,female,vegan,twice a day,natural gas,public,No Vehicle,sometimes,202,rarely,6.598509028614515,medium,7,5,25,8,Yes,"['Paper', 'Metal']","['Oven', 'Microwave']",1403
obese,female,omnivore,twice a day,natural gas,walk/bicycle,No Vehicle,sometimes,74,never,4.465908118654584,medium,3,17,20,15,Yes,"['Paper', 'Plastic']",['Oven'],1106
underweight,male,vegan,daily,natural gas,private,lpg,sometimes,272,never,7.955425088912672,small,3,6,41,10,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1977
normal,female,omnivore,daily,natural gas,private,electric,never,157,very frequently,8.730589391275567,large,5,7,27,18,Yes,"['Paper', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2375
normal,female,vegetarian,less frequently,coal,public,No Vehicle,often,50,very frequently,6.963189985870238,small,4,4,35,22,Yes,"['Glass', 'Metal']","['Oven', 'Microwave']",2383
obese,male,pescatarian,less frequently,wood,public,No Vehicle,sometimes,272,frequently,6.855408798609928,medium,5,2,38,13,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']",2512
underweight,female,omnivore,more frequently,wood,private,electric,never,278,frequently,8.07215530818825,medium,6,16,14,11,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']",1744
overweight,male,vegetarian,less frequently,electricity,walk/bicycle,No Vehicle,often,226,very frequently,4.1588830833596715,small,4,8,9,8,Sometimes,"['Paper', 'Plastic', 'Metal']",[],2045
overweight,female,vegetarian,twice a day,electricity,public,No Vehicle,often,62,never,7.3658128372094716,large,7,9,47,4,No,['Glass'],"['Grill', 'Airfryer']",1868
underweight,male,vegan,twice a day,electricity,private,petrol,never,100,rarely,8.730589391275567,medium,2,12,3,22,Yes,"['Plastic', 'Glass']","['Stove', 'Microwave']",3250
underweight,female,pescatarian,daily,electricity,walk/bicycle,No Vehicle,sometimes,252,very frequently,4.23410650459726,medium,3,11,11,22,Sometimes,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave']",1749
normal,female,pescatarian,daily,coal,public,No Vehicle,sometimes,259,never,5.075173815233827,small,7,13,38,6,No,"['Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1635
obese,female,pescatarian,twice a day,natural gas,private,petrol,sometimes,189,rarely,8.318010277546872,small,6,19,5,8,No,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave']",2921
obese,male,vegetarian,daily,electricity,public,No Vehicle,never,54,never,7.16703787691222,medium,3,11,10,9,No,"['Paper', 'Plastic', 'Glass', 'Metal']",[],477
overweight,male,vegan,daily,wood,public,No Vehicle,sometimes,155,rarely,6.565264970035361,extra large,6,21,26,15,Yes,"['Plastic', 'Glass']","['Stove', 'Oven']",2384
obese,male,vegan,more frequently,wood,private,electric,never,100,frequently,8.730589391275567,large,5,20,19,6,No,"['Plastic', 'Glass', 'Metal']",['Microwave'],2259
normal,male,omnivore,twice a day,natural gas,public,No Vehicle,often,147,never,7.499423290592229,large,4,22,23,16,No,"['Plastic', 'Metal']","['Oven', 'Microwave']",1782
underweight,male,pescatarian,more frequently,coal,walk/bicycle,No Vehicle,never,217,never,1.0986122886681096,large,6,20,32,4,Sometimes,"['Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",1788
obese,female,vegetarian,twice a day,electricity,walk/bicycle,No Vehicle,often,263,frequently,4.442651256490317,medium,5,11,38,18,Yes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2078
obese,male,pescatarian,more frequently,natural gas,private,hybrid,sometimes,180,rarely,7.1308988302963465,medium,1,15,25,4,Yes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Grill', 'Airfryer']",1629
overweight,female,omnivore,more frequently,electricity,walk/bicycle,No Vehicle,sometimes,83,very frequently,3.4965075614664802,medium,6,12,22,4,No,"['Paper', 'Plastic', 'Metal']",['Oven'],2191
obese,female,pescatarian,daily,natural gas,private,petrol,never,111,rarely,7.259116128097101,large,3,24,29,12,Sometimes,"['Plastic', 'Glass', 'Metal']",['Oven'],2045
obese,male,vegetarian,twice a day,wood,private,diesel,often,174,frequently,7.754052639035757,large,4,24,8,11,Sometimes,"['Paper', 'Glass']","['Grill', 'Airfryer']",2927
overweight,female,pescatarian,daily,natural gas,walk/bicycle,No Vehicle,often,112,frequently,4.060443010546419,large,6,22,6,20,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Microwave']",2010
overweight,female,vegan,twice a day,electricity,walk/bicycle,No Vehicle,never,277,very frequently,4.330733340286331,small,5,11,47,10,Sometimes,"['Plastic', 'Metal']","['Grill', 'Airfryer']",2287
underweight,male,pescatarian,less frequently,electricity,walk/bicycle,No Vehicle,sometimes,77,never,3.9512437185814275,extra large,1,9,47,2,No,['Metal'],"['Stove', 'Microwave']",1070
overweight,female,vegan,less frequently,wood,private,diesel,often,61,never,8.730589391275567,large,1,22,27,8,Sometimes,['Metal'],"['Oven', 'Microwave']",2915
obese,male,vegan,more frequently,coal,private,petrol,often,225,frequently,8.730589391275567,large,2,3,5,5,Sometimes,"['Plastic', 'Glass']","['Microwave', 'Grill', 'Airfryer']",6232
normal,male,vegan,less frequently,electricity,private,lpg,sometimes,203,frequently,7.766840537085513,small,4,3,47,19,No,['Glass'],"['Stove', 'Microwave']",2605
overweight,female,vegan,more frequently,natural gas,private,diesel,often,268,frequently,8.594709633844065,medium,5,11,34,24,Yes,"['Plastic', 'Glass', 'Metal']","['Grill', 'Airfryer']",3537
obese,female,omnivore,twice a day,electricity,walk/bicycle,No Vehicle,often,66,very frequently,3.6635616461296463,large,3,2,32,18,No,['Glass'],"['Stove', 'Oven', 'Microwave']",2894
underweight,male,vegan,twice a day,wood,private,hybrid,often,206,very frequently,8.214735833382303,extra large,2,13,40,20,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",3252
obese,male,omnivore,twice a day,coal,walk/bicycle,No Vehicle,sometimes,259,very frequently,2.4849066497880004,large,2,10,38,7,Yes,['Paper'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",3729
overweight,male,pescatarian,more frequently,wood,private,electric,sometimes,261,very frequently,7.68937110752969,extra large,4,23,22,3,Sometimes,"['Paper', 'Plastic']","['Oven', 'Grill', 'Airfryer']",3148
overweight,male,vegan,more frequently,electricity,walk/bicycle,No Vehicle,sometimes,152,very frequently,3.8918202981106265,large,7,19,40,24,No,"['Plastic', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",3249
underweight,female,vegan,less frequently,wood,public,No Vehicle,sometimes,137,frequently,6.144185634125646,medium,7,24,29,12,Yes,"['Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1868
normal,male,vegan,more frequently,electricity,private,diesel,sometimes,293,frequently,8.428799040653642,small,4,16,3,3,No,"['Paper', 'Plastic', 'Metal']","['Oven', 'Grill', 'Airfryer']",2325
underweight,female,omnivore,daily,electricity,private,hybrid,never,232,frequently,8.677439540558334,large,7,3,1,12,No,"['Plastic', 'Metal']",['Stove'],2436
obese,male,pescatarian,more frequently,electricity,public,No Vehicle,never,274,never,6.762729506931879,medium,2,21,9,1,Sometimes,"['Glass', 'Metal']",['Oven'],882
obese,female,vegan,more frequently,wood,public,No Vehicle,sometimes,65,rarely,5.948034989180646,large,1,2,1,16,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",858
underweight,male,omnivore,twice a day,wood,private,hybrid,sometimes,172,never,8.730589391275567,small,4,19,46,22,Sometimes,['Paper'],"['Oven', 'Grill', 'Airfryer']",3142
underweight,male,omnivore,daily,electricity,public,No Vehicle,never,165,very frequently,5.8998973535824915,extra large,7,23,26,21,Yes,"['Plastic', 'Metal']",[],2898
obese,male,vegetarian,more frequently,electricity,public,No Vehicle,sometimes,148,rarely,6.251903883165888,large,4,9,40,5,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",1610
underweight,female,pescatarian,twice a day,natural gas,walk/bicycle,No Vehicle,never,90,very frequently,3.8918202981106265,large,6,11,26,22,No,['Glass'],"['Stove', 'Oven', 'Microwave']",2425
normal,male,pescatarian,twice a day,electricity,private,lpg,never,296,rarely,8.730589391275567,extra large,6,13,49,0,Sometimes,"['Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",4934
overweight,male,omnivore,daily,wood,walk/bicycle,No Vehicle,sometimes,214,rarely,2.639057329615259,small,1,7,42,23,Sometimes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave']",1773
normal,male,vegan,more frequently,wood,private,lpg,sometimes,135,frequently,8.18060094759445,large,5,8,48,1,Yes,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",3235
obese,female,pescatarian,twice a day,wood,private,hybrid,sometimes,288,frequently,7.466799475018602,medium,3,6,23,23,No,"['Plastic', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2451
underweight,female,vegetarian,less frequently,wood,private,petrol,never,239,rarely,8.730589391275567,small,5,9,1,11,Yes,"['Plastic', 'Metal']","['Oven', 'Microwave']",3491
obese,female,omnivore,more frequently,electricity,private,hybrid,often,187,very frequently,7.905072849498666,extra large,6,15,13,14,Sometimes,['Glass'],[],3767
normal,female,vegetarian,daily,coal,private,diesel,often,228,very frequently,8.730589391275567,extra large,1,21,7,11,No,['Metal'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",4333
underweight,female,omnivore,twice a day,electricity,walk/bicycle,No Vehicle,sometimes,142,frequently,3.7612001156935624,extra large,6,14,33,17,Sometimes,['Plastic'],"['Stove', 'Grill', 'Airfryer']",2095
